14,2024-10-08T16:22:37.280Z,solana,raydium,https://dexscreener.com/solana/e61pedmewf8iuhfhmgn3wcj5p32dpjkdgo1unjjanrg1,E61pEDMEwf8iUHFhmGn3Wcj5P32DPjKDgo1UNjjaNrg1,0.0000001699,0.00002420,12090229,12090229,,CHONKY,CHONKY,https://dd.dexscreener.com/ds-data/tokens/solana/H7ed7UgcLp3ax4X1CQ5WuWDn6d1pprfMMYiv5ejwLWWU.png
15,2024-10-08T16:22:38.112Z,ethereum,uniswap,https://dexscreener.com/ethereum/0x69c7bd26512f52bf6f76fab834140d13dda673ca,0x69C7bd26512f52bF6F76faB834140D13Dda673Ca,0.00001223,0.02964,238662761,238662761,v2,Non-Playable Coin,NPC,https://dd.dexscreener.com/ds-data/tokens/ethereum/0x8ed97a637a790be1feff5e888d43629dc05408f6.png
16,2024-10-08T16:22:39.522Z,solana,raydium,https://dexscreener.com/solana/a6hd5bu6mnf6sfceq5vduhchivurgujwksmmvroqjn5z,A6hD5bU6Mnf6SfceQ5vduhchiVURGujwkSMmVroqJN5Z,0.00002662,0.003786,3655507,3655507,,iiii lovvv yuuuu,ily,https://dd.dexscreener.com/ds-data/tokens/solana/GJLiErro8cbWeDngDMWJug9dkwwckYZg4Lvb79F3pump.png
17,2024-10-08T16:22:40.159Z,solana,raydium,https://dexscreener.com/solana/hz6rzhc96ctvx3hqikodbsdord3lh5nelyuyxgu4f3ee,HZ6rzhC96cTVx3HQiKoDbSdoRd3LH5nELYuYXGu4f3EE,0.0000007294,0.0001038,103834,103834,,spinning cat,OIIAOIIA,https://dd.dexscreener.com/ds-data/tokens/solana/VaxZxmFXV8tmsd72hUn22ex6GFzZ5uq9DVJ5wA5pump.png
18,2024-10-08T16:22:40.989Z,solana,raydium,https://dexscreener.com/solana/clqufdyi7gcu16cd3f7xckwfhj9ssm8akuqzcdsd1vl3,CLQuFdYi7GCU16CD3F7xcKWfhj9SSm8aKuQZcdSD1vL3,0.0000002315,0.00003314,33053,33053,,tao,tao,https://dd.dexscreener.com/ds-data/tokens/solana/HM81dy4rm1HZwN5ggmcrt4ELJCxxc2pWaVqyqB8mT2go.png
19,2024-10-08T16:22:42.149Z,solana,raydium,https://dexscreener.com/solana/cw9dfotweuiwxyxvgnqfyhbryefgkvaqxegxkzg7d7x1,CW9DFoTWEUiwxyxVGnQFYhbrYEfGkvaqXEgxKZG7d7X1,0.0001858,0.02643,26431436,26431436,,Brainlet,BRAINLET,https://dd.dexscreener.com/ds-data/tokens/solana/8NNXWrWVctNw1UFeaBypffimTdcLCcD8XJzHvYsmgwpF.png
20,2024-10-08T16:22:43.065Z,ethereum,uniswap,https://dexscreener.com/ethereum/0x68b44c26874998adbd41a964e92315809524c7cb,0x68b44c26874998AdbD41a964e92315809524c7cB,0.00002060,0.04991,45114917,45114917,v2,ZynCoin,ZYN,https://dd.dexscreener.com/ds-data/tokens/ethereum/0x58cb30368ceb2d194740b144eab4c2da8a917dcb.png
21,2024-10-08T16:22:44.498Z,solana,raydium,https://dexscreener.com/solana/5mycuaxmqw1mcue18ry6gbwuqhtk1f4gxj9j7vrj34hj,5mYCuaXmqW1McUe18Ry6gbWUQhtk1f4GxJ9j7vRj34HJ,0.00004760,0.006774,6772464,6772464,,monkeyhaircut,monk,https://dd.dexscreener.com/ds-data/tokens/solana/FYa25XnBsXQXAdTnsyKBKd5gZ1VZhChBRF57CqfRxJZX.png
22,2024-10-08T16:22:45.362Z,solana,raydium,https://dexscreener.com/solana/hmgqpnrvb7g7yk2k4pbk88zd9igqs7trydqw2h9jkomo,HmGqPnrVb7g7YK2k4PBK88zd9igqS7tRYdQw2h9jkomo,0.000001901,0.0002711,271041,271041,,retard cat,tard,https://dd.dexscreener.com/ds-data/tokens/solana/78PFcG83Vmf5zspcfTEHAzRKvqZ7hM7VEDqQJ8i1pump.png
23,2024-10-08T16:22:46.370Z,solana,raydium,https://dexscreener.com/solana/cyfewmeeta5qvpffnedvj3xhincefzwjxqm8qdjkzvvc,CyFewMeEtA5qvPFFnEDVJ3XhiNCEFzWJxQm8qDjkzVvC,0.00002010,0.002858,2858428,2858428,,Yakub: Creator of the White Race,YAKUB,https://dd.dexscreener.com/ds-data/tokens/solana/7iagMTDPfNSR5zVcERT1To7A9eaQoz58dJAh42EMHcCC.png
